,SSc-ILD (n=35),IPF (n=27),HP (n=7),RA-ILD (n=6),IPAF (n=4),Unclassifiable (n=17),(ref:p-it)-value
Patient Demographics,  ,  ,  ,  ,  ,  ,
"Male sex, n (%)",4 (11%),18 (67%),2 (29%),0 (0%),3 (75%),12 (71%),(ref:p-it) < 0.0001
"Age, mean ± SD",59.72 ± 14.88,71.72 ± 9.16,66.65 ± 7.87,65.04 ± 13.15,63.28 ± 13.55,64.93 ± 10.44,(ref:p-it) = 0.0144
(ref:race) ,  ,  ,  ,  ,  ,  ,(ref:p-it) = 0.2458
Asian,8 (28%),3 (11%),1 (14%),0 (0%),0 (0%),2 (12%),
American Indian,0 (0%),2 (7%),0 (0%),1 (17%),0 (0%),0 (0%),
Pacific Islander,0 (0%),2 (7%),0 (0%),1 (17%),1 (25%),1 (6%),
White,21 (72%),20 (74%),6 (86%),4 (67%),3 (75%),14 (82%),
"Pulmonary Function Tests, mean ± SD",  ,  ,  ,  ,  ,  ,
FVC% predicted,34; 83.50 ± 18.42,76.22 ± 14.55,74.14 ± 25.18,97.17 ± 18.90,80.00 ± 25.86,85.94 ± 17.15,(ref:p-it) = 0.1051
DLCO% predicted,26; 56.81 ± 17.41,13; 50.77 ± 12.42,6; 56.33 ± 11.20,5; 59.00 ± 21.69,3; 59.33 ± 2.31,13; 63.15 ± 17.40,(ref:p-it) = 0.5555
"Progression, n (%)",  ,  ,  ,  ,  ,  ,
PPF,9 (26%),15 (56%),3 (43%),4 (67%),3 (75%),5 (29%),(ref:p-it) = 0.0581
FVC Rel. Decl. >10%,5 (14%),12 (44%),1 (14%),4 (67%),2 (50%),3 (19%),(ref:p-it) = 0.0148
FVC Rel. Decl. >5%,11 (31%),17 (63%),2 (29%),4 (67%),3 (75%),5 (31%),(ref:p-it) = 0.0527
Radiological Progression,4 (11%),7 (26%),4 (57%),2 (33%),0 (0%),0 (0%),(ref:p-it) = 0.0081
Clinical Progression,7 (20%),16 (59%),3 (43%),2 (33%),0 (0%),2 (12%),(ref:p-it) = 0.0034