Model,Test Datasets,AUC,BER
IPFmale,Male,0.98 [0.97-1.00],0.08 [0.05-0.13]
IPFmale,Female,0.94 [0.92-0.96],0.09 [0.06-0.11]
IPFfemale,Female,0.99 [0.96-1.00],0.04 [0.00-0.09]
IPFfemale,Male,0.93 [0.91-0.95],0.06 [0.04-0.07]
HPmale,Male,0.96 [0.89-1.00],0.11 [0.02-0.20]
HPmale,Female,0.90 [0.84-0.95],0.15 [0.10-0.21]
HPfemale,Female,0.88 [0.75-1.00],0.20 [0.07-0.35]
HPfemale,Male,0.96 [0.93-0.99],0.10 [0.05-0.15]
NSIPmale,Male,0.98 [0.93-1.00],0.15 [0.06-0.24]
NSIPmale,Female,0.79 [0.68-0.90],0.26 [0.17-0.35]
NSIPfemale,Female,0.88 [0.77-1.00],0.15 [0.05-0.27]
NSIPfemale,Male,0.89 [0.78-0.99],0.18 [0.08-0.29]