Study,Accession,Set,Control,IPF,HP,NSIP,SSc-ILD
(ref:tablezuo),-,-,4,3†,-,-,-
(ref:tablepardo),GSE2052,Training,11,12*,-,-,-
(ref:tableselman),-,-,4,15,12,8,-
(ref:tableyang1),GSE5774,Training,8,14,-,2,-
(ref:tablebridges),-,-,7,10,-,-,-
(ref:tablekonishi),GSE10667,Training,15,23,-,-,-
(ref:tableraj),GSE15197,Training,13,8,-,-,-
(ref:tablecho),GSE21369,Training,5*,10*,2,4*,-
(ref:tablehsu),GSE48149,Training,9,13,-,-,13
(ref:tablemeltzer),GSE24206,Training,6,11,-,-,-
(ref:tablesanders),GSE35145,Training,4,4,-,-,-
(ref:tabledeng),SRA048904,Training,3,3,-,-,-
(ref:tableyang2),GSE32537,Training,50,34,-,4,-
(ref:tablenance),GSE52463,Training,7,8,-,-,-
(ref:tablebauer),GSE47460-GPL14550,Training,91,122,21,14,-
,GSE47460-GPL6480,Test,17,38,9,3,-
(ref:tabledepianto1),GSE53845,Test,8,39,-,-,-
(ref:tablegeng),GSE72073,Training,3,5,-,-,-
(ref:tablechristmann),GSE81292,Training,5,-,-,-,11
(ref:tablehorimasu1),-,-,3,-,9,-,-
(ref:tablehorimasu2),GSE101286,Training,3,7,-,5,-
(ref:tableschafer),GSE92592,Test,19,20,-,-,-
(ref:tablevukmirovic),GSE83717,Training,5,6,-,-,-
(ref:tableyu),GSE73189,Test,5,4,-,3,-
(ref:tablececchini),GSE110147,Test,11,22,-,10,-
(ref:tableluzina),GSE99621,Training,3,3,-,-,-
(ref:tablesivakumar),GSE134692,Training,17,36,-,-,-
(ref:tablemcdonough),GSE124685,Training,6,10,-,-,-
(ref:tablefurusawa),GSE150910,Training,103,102*,81*,-,-
(ref:tablekonigsberg),GSE173355,Training,14,23,-,-,-
(ref:tabledepianto2),GSE166036,Test,9,20,-,-,6
(ref:tableborie),GSE175457,Training,188,234,-,-,-
(ref:tablewang),GSE199152,Training,4,20,-,-,-
(ref:tablehuang),GSE199949,Training,8,13,-,-,-
(ref:tabledesadeleer),GSE184316,Test,6,10,9,-,-
(ref:tablejaffar),GSE213001,Test,12,19,4,4,-
,,Training,581,721,104,29,24
,,Test,87,173,22,20,6